Module,SysCall Name,SysCall Number,Count
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,getdents,61,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,fchown,55,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,getrandom,278,16
<frozen importlib._bootstrap>,openat,56,19
/workspace/bcc/web_application/main.py,munmap,215,4
/workspace/Python-3.10.0/Lib/socket.py,close,57,122
/workspace/Python-3.10.0/Lib/socketserver.py,clone,220,36
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,pread,67,168
/workspace/Python-3.10.0/Lib/subprocess.py,wait4,260,54
/workspace/Python-3.10.0/Lib/socketserver.py,rt_sigprocmask,135,72
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,getpid,172,2
<frozen importlib._bootstrap>,newfstatat,79,55
/workspace/Python-3.10.0/Lib/http/server.py,geteuid,175,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,getpid,172,15
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/_internal.py,write,64,61
/workspace/Python-3.10.0/Lib/http/server.py,epoll_create1,20,122
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,newfstatat,79,16
/workspace/Python-3.10.0/Lib/logging/__init__.py,close,57,9
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,munmap,215,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,geteuid,175,10
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,openat,56,6
<frozen importlib._bootstrap_external>,mmap,222,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,fcntl,25,366
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,newfstatat,79,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,newfstat,80,120
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,openat,56,5
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,newfstat,80,8
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,ppoll,73,54
/workspace/Python-3.10.0/Lib/http/server.py,clone,220,18
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,close,57,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/utils/handlers.py,mmap,222,21
/workspace/Python-3.10.0/Lib/socketserver.py,getrandom,278,16
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,newfstat,80,304
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,mprotect,226,2
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/loading.py,pread,67,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,geteuid,175,4
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,pread,67,6
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,newfstat,80,228
