Module,SysCall Name,SysCall Number,Count
/workspace/Python-3.10.0/Lib/subprocess.py,wait4,260,1
/workspace/Python-3.10.0/Lib/socketserver.py,fdatasync,83,1
/workspace/Python-3.10.0/Lib/socketserver.py,getpid,172,1
/workspace/Python-3.10.0/Lib/socketserver.py,write,64,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/visitors.py,mmap,222,1
/workspace/Python-3.10.0/Lib/tokenize.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,close,57,1
/workspace/Python-3.10.0/Lib/socketserver.py,rt_sigprocmask,135,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,unlinkat,35,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,pipe2,59,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,unlinkat,35,1
/workspace/Python-3.10.0/Lib/http/server.py,fdatasync,83,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,getdents,61,1
/workspace/Python-3.10.0/Lib/http/server.py,wait4,260,1
<string>,fcntl,25,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,write,64,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,pread,67,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,clone,220,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/persistence.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,close,57,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,pwrite,68,1
/workspace/Python-3.10.0/Lib/selectors.py,epoll_ctl,21,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,pwrite,68,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,getpid,172,1
/workspace/Python-3.10.0/Lib/traceback.py,close,57,1
/workspace/Python-3.10.0/Lib/subprocess.py,newfstat,80,1
<string>,newfstat,80,1
/workspace/Python-3.10.0/Lib/socketserver.py,mmap,222,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,newfstatat,79,1
<frozen importlib._bootstrap_external>,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/_internal.py,getpid,172,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/handlers/bcrypt.py,lseek,62,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,openat,56,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/loading.py,fcntl,25,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,openat,56,1
/workspace/Python-3.10.0/Lib/socketserver.py,newfstat,80,1
/workspace/Python-3.10.0/Lib/random.py,getrandom,278,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/state_changes.py,fchown,55,1
/workspace/Python-3.10.0/Lib/subprocess.py,lseek,62,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/unitofwork.py,newfstatat,79,1
/workspace/Python-3.10.0/Lib/socketserver.py,fchown,55,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,pread,67,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/query.py,newfstat,80,1
<frozen importlib._bootstrap_external>,ioctl,29,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/default.py,fcntl,25,1
/workspace/Python-3.10.0/Lib/socketserver.py,geteuid,175,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/context.py,mmap,222,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,openat,56,1
/workspace/bcc/web_application/main.py,mprotect,226,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,munmap,215,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/orm/session.py,close,57,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/engine/base.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/sql/elements.py,fchown,55,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,geteuid,175,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,read,63,1
/workspace/Python-3.10.0/Lib/http/server.py,recvfrom,207,1
/workspace/Python-3.10.0/Lib/linecache.py,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,ioctl,29,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/passlib/context.py,write,64,1
/workspace/Python-3.10.0/Lib/socketserver.py,wait4,260,1
/workspace/Python-3.10.0/Lib/subprocess.py,ioctl,29,1
<string>,read,63,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,recvfrom,207,1
<string>,pwrite,68,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/flask/app.py,clone,220,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/bcrypt/__init__.py,openat,56,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/werkzeug/serving.py,wait4,260,1
/workspace/bcc/web_application/main.py,unlinkat,35,1
/workspace/Python-3.10.0/lib/python3.10/site-packages/sqlalchemy/util/langhelpers.py,mmap,222,1
